system,L,r,Gr
bd,128,54,2.543952e+02
bd,128,55,2.554363e+02
bd,128,56,2.568505e+02
bd,128,57,2.576821e+02
bd,128,58,2.585534e+02
bd,128,59,2.592164e+02
bd,128,60,2.597153e+02
bd,128,61,2.603342e+02
bd,128,62,2.605469e+02
bd,128,63,2.606299e+02
bd,128,64,2.606594e+02
eden,128,1,2.654121e+00
eden,128,2,5.365840e+00
eden,128,3,8.079844e+00
eden,128,4,1.076686e+01
eden,128,5,1.339824e+01
eden,128,6,1.595580e+01
eden,128,7,1.848533e+01
eden,128,8,2.097023e+01
eden,128,9,2.339029e+01
eden,128,10,2.576918e+01
eden,128,11,2.808557e+01
eden,128,12,3.037012e+01
eden,128,13,3.261152e+01
eden,128,14,3.482740e+01
eden,128,15,3.700184e+01
eden,128,16,3.911541e+01
eden,128,17,4.118918e+01
eden,128,18,4.320947e+01
eden,128,19,4.520035e+01
eden,128,20,4.716750e+01
eden,128,21,4.911211e+01
eden,128,22,5.100883e+01
eden,128,23,5.286418e+01
eden,128,24,5.470199e+01
eden,128,25,5.648773e+01
eden,128,26,5.823436e+01
eden,128,27,5.996098e+01
eden,128,28,6.163547e+01
eden,128,29,6.325461e+01
eden,128,30,6.482143e+01
eden,128,31,6.632918e+01
eden,128,32,6.778297e+01
eden,128,33,6.919082e+01
eden,128,34,7.054699e+01
eden,128,35,7.182105e+01
eden,128,36,7.303715e+01
eden,128,37,7.421537e+01
eden,128,38,7.538529e+01
eden,128,39,7.650447e+01
eden,128,40,7.759203e+01
eden,128,41,7.861850e+01
eden,128,42,7.958682e+01
eden,128,43,8.052393e+01
eden,128,44,8.142416e+01
eden,128,45,8.230738e+01
eden,128,46,8.315342e+01
eden,128,47,8.396893e+01
eden,128,48,8.472701e+01
eden,128,49,8.546516e+01
eden,128,50,8.614301e+01
eden,128,51,8.677166e+01
eden,128,52,8.734785e+01
eden,128,53,8.789701e+01
eden,128,54,8.839074e+01
eden,128,55,8.880773e+01
eden,128,56,8.918574e+01
eden,128,57,8.952084e+01
eden,128,58,8.982088e+01
eden,128,59,9.006502e+01
eden,128,60,9.026287e+01
eden,128,61,9.043178e+01
eden,128,62,9.055199e+01
eden,128,63,9.063137e+01
eden,128,64,9.065227e+01
rd,128,1,2.873711e+04
rd,128,2,2.954172e+04
rd,128,3,2.801327e+04
rd,128,4,2.880245e+04
rd,128,5,2.974399e+04
rd,128,6,2.947336e+04
