protocol,representation,representation_key,representation_family,subset,systems,n_runs,n_samples_mean,kmeans_ari_mean,kmeans_ari_std,kmeans_ari_min,kmeans_ari_max,hdbscan_core_ari_mean,hdbscan_core_ari_std,hdbscan_core_ari_min,hdbscan_core_ari_max
exp69,cross-L engineered features,cross_L_engineered_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,-0.0707071,0,-0.0707071,-0.0707071,0.151534,0.205742,-0.0741294,0.318676
exp69,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,all_six,EW/KPZ/BD/Eden/RD/KS,5,240,0.600314,0.182461,0.438731,0.90171,0.674224,0.199287,0.477068,0.959571
exp69,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,ew_kpz_only,EW/KPZ only,5,80,0.517293,0.44031,-0.0102561,1,0.70124,0.345311,0.194086,1
exp69,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_ks,EW/KPZ/BD/Eden/RD,5,200,0.564451,0.198134,0.374539,0.843234,0.596175,0.134936,0.517089,0.83672
exp69,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_rd,EW/KPZ/BD/Eden/KS,5,200,0.623164,0.239141,0.386448,0.936031,0.526587,0.0261539,0.479801,0.538283
exp69,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,0.437755,0.366265,0.0900332,0.921943,0.333333,0.38735,-0.0910745,0.745472
exp69,raw multi-L features,multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,5,240,0.604959,0,0.604959,0.604959,0.566243,0,0.566243,0.566243
exp69,raw multi-L features,multi_L_features,feature,ew_kpz_only,EW/KPZ only,5,80,1,0,1,1,1,0,1,1
exp69,raw multi-L features,multi_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,5,200,0.499581,6.20634e-17,0.499581,0.499581,0.47769,6.20634e-17,0.47769,0.47769
exp69,raw multi-L features,multi_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,5,200,0.0197044,0,0.0197044,0.0197044,0.47769,6.20634e-17,0.47769,0.47769
exp69,raw multi-L features,multi_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,-0.0707071,0,-0.0707071,-0.0707071,0.329114,0,0.329114,0.329114
exp69,single-L features,single_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,5,240,0.532701,0.161573,0.243671,0.604959,0.558609,0.017071,0.528071,0.566243
exp69,single-L features,single_L_features,feature,ew_kpz_only,EW/KPZ only,5,80,1,0,1,1,1,0,1,1
exp69,single-L features,single_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,5,200,0.438337,0.0838623,0.34647,0.499581,0.47769,6.20634e-17,0.47769,0.47769
exp69,single-L features,single_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,5,200,0.0197044,0,0.0197044,0.0197044,0.469389,0.0185612,0.436186,0.47769
exp69,single-L features,single_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,-0.0707071,0,-0.0707071,-0.0707071,0.329114,0,0.329114,0.329114
