protocol,seed_start,system,source,kmeans_ari,hdbscan_core_ari,ks_excluded_kmeans_ari,n,alpha_mean,beta_mean,z_mean,alpha_std,beta_std,z_std
equal,69000,ew,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,0.8198403390674631,0.9257423059570473,0.7840166018158236,40,0.6479835312052067,0.24126871099705555,2.6949400504725496,0.08808421259554283,0.011220417355051642,0.41137027265881143
equal,69000,kpz,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,0.8198403390674631,0.9257423059570473,0.7840166018158236,40,0.4273049885953538,0.305178185726818,1.3998913390288323,0.11739505815450009,0.011946374126449673,0.3803902587580676
equal,69000,bd,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,0.8198403390674631,0.9257423059570473,0.7840166018158236,40,0.34434144814165946,0.3494685815486491,1.0153879856152765,0.06660216934368947,0.0792955412574937,0.2209839189833986
equal,69000,eden,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,0.8198403390674631,0.9257423059570473,0.7840166018158236,40,0.2316279663268,0.29259508980486126,0.8473966912904454,0.07201021260752331,0.0975159679779072,0.332263176269402
equal,69000,rd,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,0.8198403390674631,0.9257423059570473,0.7840166018158236,40,-0.022769688166309525,0.49292287611976127,0.009711878636469847,0.03319762069527114,0.007711638512884279,0.019470944856214832
equal,69000,ks,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,0.8198403390674631,0.9257423059570473,0.7840166018158236,40,4.435128109352306e-06,5.69468874570234,1.234341550288864e-06,1.1265077171024011e-05,0.09169819518037046,1.4117773420442235e-06
equal,70000,ew,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,0.5839644482509787,0.6748871529965758,0.47199780331855806,40,0.38285882719626213,0.24664525501715628,1.5488341642315357,0.08404176942494448,0.01717631527183624,0.29520816223343904
equal,70000,kpz,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,0.5839644482509787,0.6748871529965758,0.47199780331855806,40,0.36035830890002857,0.305717212326026,1.1771700324453611,0.07522279206800418,0.011001842967568001,0.23580815403030297
equal,70000,bd,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,0.5839644482509787,0.6748871529965758,0.47199780331855806,40,0.2991421847763382,0.30210637133323265,1.0481114269572605,0.07097565778738835,0.06803651268805494,0.3913454124481422
equal,70000,eden,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,0.5839644482509787,0.6748871529965758,0.47199780331855806,40,0.23454750939788696,0.2731929916568673,0.8870646715537998,0.06662088966893216,0.05917807259917169,0.28964019480470143
