dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,n_universality_classes,target_label_set,method,requested_n_clusters,status,n_clusters_found,n_noise,ari_universality_all,ari_system_all,nmi_universality_all,nmi_system_all,system_minus_universality_ari_all,ari_universality_core,ari_system_core,system_minus_universality_ari_core
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,universality,gmm_diag,3,ok,3,0,0.890107,0.452016,0.86524,0.671362,-0.438091,0.890107,0.452016,-0.438091
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,universality,agglomerative_ward,3,ok,3,0,0.608286,0.410482,0.629888,0.544986,-0.197803,0.608286,0.410482,-0.197803
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,universality,agglomerative_average,3,ok,3,0,0.733711,0.445561,0.743832,0.621805,-0.28815,0.733711,0.445561,-0.28815
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,universality,agglomerative_complete,3,ok,3,0,0.746916,0.450783,0.751408,0.637903,-0.296132,0.746916,0.450783,-0.296132
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,universality,spectral_nearest,3,ok,3,0,0.858854,0.445857,0.819233,0.646002,-0.412997,0.858854,0.445857,-0.412997
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,universality,spectral_rbf,3,ok,3,0,0.843777,0.431152,0.795433,0.62763,-0.412625,0.843777,0.431152,-0.412625
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,microscopic_system,kmeans,5,ok,5,0,0.416819,0.555504,0.623646,0.619864,0.138685,0.416819,0.555504,0.138685
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,microscopic_system,gmm_full,5,ok,5,0,0.466699,0.660669,0.686906,0.715383,0.19397,0.466699,0.660669,0.19397
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,microscopic_system,gmm_diag,5,ok,5,0,0.53828,0.448309,0.678117,0.633777,-0.0899714,0.53828,0.448309,-0.0899714
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,microscopic_system,agglomerative_ward,5,ok,5,0,0.412031,0.460404,0.577355,0.581674,0.0483727,0.412031,0.460404,0.0483727
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,microscopic_system,agglomerative_average,5,ok,5,0,0.514912,0.47261,0.661376,0.618096,-0.0423022,0.514912,0.47261,-0.0423022
