protocol,seed_start,kmeans_ari,hdbscan_core_ari,ks_excluded_kmeans_ari,max_within_kpz_centroid_distance,min_kpz_to_ew_or_rd_centroid_distance,kpz_quotient_separation_ratio,interpretation
equal,69000,0.8198403390674631,0.9257423059570473,0.7840166018158236,1.0305736442027025,1.7934724459977853,0.5746247434703968,good_if_below_1; lower means KPZ subclasses are tighter than separation from EW/RD
equal,70000,0.5839644482509787,0.6748871529965758,0.47199780331855806,1.0588043778980463,0.913757228530071,1.1587370746180663,good_if_below_1; lower means KPZ subclasses are tighter than separation from EW/RD
equal,71000,0.5340588355108098,0.6607150047643917,0.43471131639722865,1.6742982384891758,0.5242243943949811,3.193857928762587,good_if_below_1; lower means KPZ subclasses are tighter than separation from EW/RD
equal,72000,0.6150564896683484,0.8445592071226358,0.746593117803942,1.33078164118394,1.1559008791644845,1.151293908648866,good_if_below_1; lower means KPZ subclasses are tighter than separation from EW/RD
equal,73000,0.46937836866189436,0.5572239679651813,0.4435638995227857,1.9679471494204548,1.0010126688438057,1.9659562867405886,good_if_below_1; lower means KPZ subclasses are tighter than separation from EW/RD
exp69,69000,0.9017097280215621,0.9595706075201181,0.8432344524866957,1.5212027904854304,2.2583497150036185,0.6735904454386034,good_if_below_1; lower means KPZ subclasses are tighter than separation from EW/RD
exp69,70000,0.516910506767762,0.6702623502278477,0.3745388184994004,1.0060706929301229,0.6854612260433265,1.467728085419862,good_if_below_1; lower means KPZ subclasses are tighter than separation from EW/RD
exp69,71000,0.5101695292833434,0.4770684733119813,0.45108132589432226,1.7392882904246734,0.9019481258180477,1.928368429001586,good_if_below_1; lower means KPZ subclasses are tighter than separation from EW/RD
exp69,72000,0.6340482960994152,0.7644045197663174,0.6993545697348706,1.1799472303824443,1.514736950453356,0.7789783104117779,good_if_below_1; lower means KPZ subclasses are tighter than separation from EW/RD
exp69,73000,0.43873135913170647,0.49981256497432464,0.45404492023509657,1.8951473340636469,0.897299536222568,2.112056517984838,good_if_below_1; lower means KPZ subclasses are tighter than separation from EW/RD
