source_family,protocol,representation,representation_family,evaluation_mode,subset,systems,n_rows,n_samples_mean,n_true_classes_mean,kmeans_ari_mean,kmeans_ari_std,kmeans_ari_min,kmeans_ari_max,hdbscan_core_ari_mean,hdbscan_core_ari_std,hdbscan_core_ari_min,hdbscan_core_ari_max,knn3_accuracy_mean,knn3_accuracy_std,notes
exp70_sweep,equal,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,5,200,3,0.499605,0.16545,0.332306,0.769484,0.644577,0.19736,0.437398,0.903564,,,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
exp70_sweep,equal,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,5,200,3,0.560479,0.162839,0.425716,0.797679,0.649613,0.198367,0.443496,0.903564,,,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
exp70_sweep,equal,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,2,0.360152,0.233833,0.168606,0.688835,0.449639,0.399847,-0.00841814,0.841939,,,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
exp70_sweep,equal,raw multi-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,5,240,4,0.604959,0,0.604959,0.604959,0.566243,0,0.566243,0.566243,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,equal,raw multi-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,5,80,2,1,0,1,1,1,0,1,1,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,equal,raw multi-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,5,200,3,0.499581,6.20634e-17,0.499581,0.499581,0.47769,0,0.47769,0.47769,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,equal,raw multi-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,5,200,3,0.499581,6.20634e-17,0.499581,0.499581,0.47769,0,0.47769,0.47769,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,equal,raw multi-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,2,0.246445,3.10317e-17,0.246445,0.246445,0.329114,0,0.329114,0.329114,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,equal,single-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,5,240,4,0.532701,0.161573,0.243671,0.604959,0.566243,0,0.566243,0.566243,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,equal,single-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,5,80,2,1,0,1,1,1,0,1,1,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
