source,protocol,seed_start,representation,representation_key,representation_family,subset,systems,n_samples,n_features,n_true_classes,kmeans_ari,kmeans_nmi,hdbscan_ari_all,hdbscan_ari_core,hdbscan_clusters,hdbscan_noise
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,single-L features,single_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,10,3,0.499581,0.671269,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,single-L features,single_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,10,3,0.0197044,0.306337,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,single-L features,single_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,10,2,-0.0707071,0.151066,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,single-L features,single_L_features,feature,ew_kpz_only,EW/KPZ only,80,10,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,raw multi-L features,multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.604959,0.786438,0.566243,0.566243,6,0
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,raw multi-L features,multi_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.499581,0.671269,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,raw multi-L features,multi_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.0197044,0.306337,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,raw multi-L features,multi_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,raw multi-L features,multi_L_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,cross-L engineered features,cross_L_engineered_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.495781,0.743848,0.520073,0.527215,6,13
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,cross-L engineered features,cross_L_engineered_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.34647,0.598106,0.417988,0.393995,5,23
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,cross-L engineered features,cross_L_engineered_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.34647,0.598106,0.440218,0.440972,5,8
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,cross-L engineered features,cross_L_engineered_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,0.283039,0.206362,4,20
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,cross-L engineered features,cross_L_engineered_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,0.951862,1,2,2
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,8,4,0.495781,0.743848,0.525968,0.527113,6,16
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,8,3,0.0197044,0.306337,0.440539,0.438406,5,11
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,8,3,0.44,0.646724,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,8,2,0.246445,0.343711,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,ew_kpz_only,EW/KPZ only,80,8,2,1,1,1,1,2,0
