dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,merge_step,distance,left_cluster,right_cluster,merged_cluster,kpz_systems_inside,non_kpz_systems_inside
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,2,0.832735,eden,bd/kpz,bd/eden/kpz,bd/eden/kpz,
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,1.22966,ew,bd/eden/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,4,3.60065,rd,bd/eden/ew/kpz,bd/eden/ew/kpz/rd,bd/eden/kpz,ew/rd
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,1,0.45825,bd,kpz,bd/kpz,bd/kpz,
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,2,0.734513,eden,bd/kpz,bd/eden/kpz,bd/eden/kpz,
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,1.05713,ew,bd/eden/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,4,3.84307,ks,bd/eden/ew/kpz,bd/eden/ew/kpz/ks,bd/eden/kpz,ew/ks
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,1,0.736996,bd,kpz,bd/kpz,bd/kpz,
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,1.32156,eden,bd/kpz,bd/eden/kpz,bd/eden/kpz,
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,3,1.92934,ew,bd/eden/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,1,0.260059,bd,eden,bd/eden,bd/eden,
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,2,0.380081,ew,kpz,ew/kpz,kpz,ew
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,3,1.62165,bd/eden,ew/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,2.4589,rd,bd/eden/ew/kpz,bd/eden/ew/kpz/rd,bd/eden/kpz,ew/rd
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,5,3.52284,ks,bd/eden/ew/kpz/rd,bd/eden/ew/kpz/ks/rd,bd/eden/kpz,ew/ks/rd
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1,0.524224,ew,kpz,ew/kpz,kpz,ew
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_ks,EW/KPZ/BD/Eden/RD,200,5,2,0.985339,bd,eden,bd/eden,bd/eden,
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,1.85666,ew/kpz,bd/eden,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_ks,EW/KPZ/BD/Eden/RD,200,5,4,3.4159,rd,bd/eden/ew/kpz,bd/eden/ew/kpz/rd,bd/eden/kpz,ew/rd
