system,L,seed,W_sat
kpz,64,11,2.380894
kpz,64,12,2.018418
kpz,64,13,2.317635
kpz,64,14,2.790104
kpz,64,15,2.237924
kpz,64,16,1.935932
kpz,64,17,1.799539
kpz,64,18,1.926301
kpz,64,19,1.706505
kpz,64,20,2.310496
kpz,64,21,2.026869
kpz,64,22,1.821095
kpz,64,23,2.115827
kpz,96,0,4.065880
kpz,96,1,1.890723
kpz,96,2,2.800715
kpz,96,3,2.204709
kpz,96,4,2.343197
kpz,96,5,2.685680
kpz,96,6,3.735163
kpz,96,7,2.999332
kpz,96,8,3.124910
kpz,96,9,2.338694
kpz,96,10,3.586021
kpz,96,11,2.007929
kpz,96,12,2.466831
kpz,96,13,2.446779
kpz,96,14,3.010687
kpz,96,15,3.355874
kpz,96,16,2.962761
kpz,96,17,2.685078
kpz,96,18,2.807124
kpz,96,19,3.824198
kpz,96,20,2.685491
kpz,96,21,2.195202
kpz,96,22,2.235283
kpz,96,23,2.247935
kpz,128,0,4.243629
kpz,128,1,3.195450
kpz,128,2,3.011191
kpz,128,3,3.133878
kpz,128,4,2.809229
kpz,128,5,3.191560
kpz,128,6,3.483924
kpz,128,7,3.065873
kpz,128,8,2.755529
kpz,128,9,3.137947
kpz,128,10,2.638365
kpz,128,11,3.598381
kpz,128,12,3.414967
kpz,128,13,2.960083
kpz,128,14,3.283523
kpz,128,15,3.354494
kpz,128,16,3.501495
kpz,128,17,2.991867
kpz,128,18,3.881575
kpz,128,19,2.497616
kpz,128,20,2.470458
kpz,128,21,2.514567
kpz,128,22,2.626337
kpz,128,23,3.327433
kpz,192,0,2.682230
kpz,192,1,2.831526
kpz,192,2,3.357921
kpz,192,3,3.552634
kpz,192,4,4.038431
kpz,192,5,3.845928
kpz,192,6,5.501151
kpz,192,7,4.342106
kpz,192,8,5.047507
kpz,192,9,3.756419
kpz,192,10,3.194990
kpz,192,11,4.122573
kpz,192,12,6.024006
kpz,192,13,4.228662
kpz,192,14,3.203543
kpz,192,15,3.115185
kpz,192,16,3.176441
kpz,192,17,3.543428
kpz,192,18,4.214318
kpz,192,19,3.857060
kpz,192,20,2.853723
kpz,192,21,4.046814
kpz,192,22,3.235685
kpz,192,23,3.645947
kpz,256,0,3.727628
kpz,256,1,4.502628
kpz,256,2,4.004652
kpz,256,3,4.259422
kpz,256,4,5.359565
kpz,256,5,4.756211
kpz,256,6,4.110927
kpz,256,7,4.579633
kpz,256,8,4.190889
kpz,256,9,3.826959
kpz,256,10,4.620448
kpz,256,11,3.856634
kpz,256,12,3.758756
kpz,256,13,4.003504
kpz,256,14,3.666261
kpz,256,15,4.131022
kpz,256,16,4.643847
kpz,256,17,5.722643
kpz,256,18,6.533623
kpz,256,19,4.933164
kpz,256,20,4.357802
kpz,256,21,5.731242
kpz,256,22,4.708927
kpz,256,23,4.724743
bd,32,0,5.868781
bd,32,1,5.461249
bd,32,2,5.953805
bd,32,3,5.995563
bd,32,4,5.885337
bd,32,5,5.877199
bd,32,6,5.314993
bd,32,7,5.732016
bd,32,8,5.736349
bd,32,9,5.649895
bd,32,10,5.954648
bd,32,11,5.678877
bd,32,12,6.038828
bd,32,13,6.007339
bd,32,14,6.088536
bd,32,15,5.680576
bd,32,16,6.017548
bd,32,17,5.659923
bd,32,18,5.715162
bd,32,19,5.571517
bd,32,20,6.135737
bd,32,21,5.612935
bd,32,22,5.888117
bd,32,23,6.184894
bd,48,0,6.715513
bd,48,1,6.864258
bd,48,2,6.880561
bd,48,3,6.687208
bd,48,4,6.485535
bd,48,5,6.786965
bd,48,6,6.511393
bd,48,7,6.725370
bd,48,8,6.598582
bd,48,9,6.707360
bd,48,10,6.735230
bd,48,11,6.488480
bd,48,12,6.654548
bd,48,13,6.620232
bd,48,14,6.476531
bd,48,15,6.484486
bd,48,16,6.516721
bd,48,17,6.670942
bd,48,18,6.785256
bd,48,19,6.445086
bd,48,20,6.508677
bd,48,21,6.566446
bd,48,22,6.675980
bd,48,23,6.722754
bd,64,0,7.389539
bd,64,1,7.327890
bd,64,2,7.350237
bd,64,3,7.297278
bd,64,4,7.144402
bd,64,5,7.460482
bd,64,6,7.477591
bd,64,7,7.132974
bd,64,8,7.201281
bd,64,9,7.249251
bd,64,10,7.110257
bd,64,11,7.188441
bd,64,12,7.349761
bd,64,13,7.507303
bd,64,14,7.184746
bd,64,15,7.241237
bd,64,16,7.607249
bd,64,17,7.340418
bd,64,18,7.295054
bd,64,19,7.070922
bd,64,20,7.247660
bd,64,21,7.290403
bd,64,22,7.398306
bd,64,23,7.341013
bd,96,0,8.111192
bd,96,1,8.429577
bd,96,2,8.573653
bd,96,3,8.388625
bd,96,4,8.539278
bd,96,5,8.289159
bd,96,6,8.805772
bd,96,7,8.606662
bd,96,8,8.598778
bd,96,9,8.625842
bd,96,10,8.366777
bd,96,11,8.486484
bd,96,12,8.578772
bd,96,13,8.518717
bd,96,14,8.432876
bd,96,15,8.600285
bd,96,16,8.582751
bd,96,17,8.581966
bd,96,18,8.409647
bd,96,19,8.356867
bd,96,20,8.503612
bd,96,21,8.230097
bd,96,22,8.264205
bd,96,23,8.252469
bd,128,0,9.509918
bd,128,1,9.309434
bd,128,2,9.541856
bd,128,3,9.321050
bd,128,4,9.214012
bd,128,5,9.313752
bd,128,6,9.126706
bd,128,7,9.351984
bd,128,8,9.261922
bd,128,9,9.325141
bd,128,10,9.414733
bd,128,11,9.585880
bd,128,12,9.524756
bd,128,13,9.422221
bd,128,14,9.185389
bd,128,15,9.474596
bd,128,16,9.137836
bd,128,17,9.260471
bd,128,18,9.200306
bd,128,19,9.538964
bd,128,20,9.480729
bd,128,21,9.492649
bd,128,22,9.780169
bd,128,23,9.028779
bd,192,0,11.289938
bd,192,1,10.928452
bd,192,2,11.294601
bd,192,3,10.969120
bd,192,4,11.200204
bd,192,5,10.750665
bd,192,6,11.137197
bd,192,7,11.013812
bd,192,8,11.227276
bd,192,9,11.035965
bd,192,10,10.545334
bd,192,11,11.266451
bd,192,12,10.929072
bd,192,13,11.518390
bd,192,14,10.962392
bd,192,15,10.694522
bd,192,16,11.311588
bd,192,17,11.057712
bd,192,18,10.851720
bd,192,19,11.245119
bd,192,20,10.793908
bd,192,21,11.209872
bd,192,22,10.691897
bd,192,23,10.803951
bd,256,0,12.543232
bd,256,1,12.428707
bd,256,2,12.439098
bd,256,3,12.154951
bd,256,4,12.220648
bd,256,5,12.395844
bd,256,6,12.230850
bd,256,7,12.200472
bd,256,8,12.294649
bd,256,9,12.257818
bd,256,10,12.433637
bd,256,11,12.552063
bd,256,12,12.241242
bd,256,13,12.258974
bd,256,14,12.315350
bd,256,15,12.405029
bd,256,16,12.626212
bd,256,17,12.590855
bd,256,18,12.379780
bd,256,19,12.216470
bd,256,20,12.418362
bd,256,21,12.383011
bd,256,22,12.808470
bd,256,23,12.562933
eden,32,0,2.203264
eden,32,1,2.483825
eden,32,2,2.870228
eden,32,3,2.415149
eden,32,4,2.183318
eden,32,5,2.638065
eden,32,6,3.117665
eden,32,7,2.547179
eden,32,8,2.989374
eden,32,9,2.820549
eden,32,10,2.742607
eden,32,11,2.936557
eden,32,12,2.893091
eden,32,13,2.789111
eden,32,14,2.292694
eden,32,15,2.075924
eden,32,16,2.366160
eden,32,17,2.501414
eden,32,18,3.410538
eden,32,19,2.935126
eden,32,20,2.285269
eden,32,21,3.290218
eden,32,22,2.204648
eden,32,23,2.429075
eden,48,0,2.779269
eden,48,1,3.201389
eden,48,2,3.210933
eden,48,3,2.929937
eden,48,4,3.131210
eden,48,5,2.981012
eden,48,6,3.665964
eden,48,7,3.158508
eden,48,8,2.588202
eden,48,9,3.689954
eden,48,10,3.175591
eden,48,11,3.630308
eden,48,12,2.520406
eden,48,13,3.567588
eden,48,14,2.855590
eden,48,15,4.276358
eden,48,16,2.860910
eden,48,17,2.664451
eden,48,18,2.978494
eden,48,19,3.695538
eden,48,20,3.386834
eden,48,21,2.804648
eden,48,22,2.737473
eden,48,23,3.999637
eden,64,0,2.863258
eden,64,1,4.454404
eden,64,2,3.469669
eden,64,3,4.056374
eden,64,4,3.004507
eden,64,5,3.460171
eden,64,6,4.705962
eden,64,7,3.384106
eden,64,8,3.073364
eden,64,9,3.475128
eden,64,10,4.875093
eden,64,11,3.168459
eden,64,12,3.194258
eden,64,13,2.834937
eden,64,14,3.387580
eden,64,15,4.443268
eden,64,16,3.141317
eden,64,17,3.859532
eden,64,18,3.790861
eden,64,19,4.949435
eden,64,20,3.597157
eden,64,21,3.601299
eden,64,22,4.565910
eden,64,23,3.383316
eden,96,0,5.831413
eden,96,1,4.140657
eden,96,2,4.170799
eden,96,3,4.628495
eden,96,4,4.824212
eden,96,5,4.869870
eden,96,6,3.777224
eden,96,7,5.625192
eden,96,8,4.075609
eden,96,9,4.653426
eden,96,10,4.198280
eden,96,11,3.966798
eden,96,12,4.388989
eden,96,13,4.131792
eden,96,14,3.773021
eden,96,15,5.106268
eden,96,16,4.929113
eden,96,17,5.630176
eden,96,18,3.758781
eden,96,19,4.610429
eden,96,20,4.314367
eden,96,21,4.250655
eden,96,22,5.095055
eden,96,23,4.224313
eden,128,0,4.517387
eden,128,1,5.025505
eden,128,2,4.714230
eden,128,3,4.256380
eden,128,4,4.817437
eden,128,5,4.815092
eden,128,6,5.730523
eden,128,7,6.709886
eden,128,8,5.680540
eden,128,9,4.819120
eden,128,10,4.555142
eden,128,11,5.965288
eden,128,12,5.905958
eden,128,13,4.342787
eden,128,14,5.196690
eden,128,15,4.908677
eden,128,16,4.047315
eden,128,17,5.464292
eden,128,18,4.607427
eden,128,19,5.371576
eden,128,20,4.841954
eden,128,21,5.897506
eden,128,22,4.816801
eden,128,23,6.449290
eden,192,0,5.735030
eden,192,1,6.837576
eden,192,2,4.537651
eden,192,3,5.934200
eden,192,4,6.822327
eden,192,5,5.235444
eden,192,6,5.142935
eden,192,7,5.233193
eden,192,8,5.673410
eden,192,9,6.676706
eden,192,10,6.443109
eden,192,11,5.262106
eden,192,12,5.762630
eden,192,13,5.183556
eden,192,14,5.927245
eden,192,15,6.137129
eden,192,16,7.059388
eden,192,17,4.959008
eden,192,18,6.678878
eden,192,19,6.116832
eden,192,20,7.628346
eden,192,21,6.380685
eden,192,22,5.920260
eden,192,23,5.889377
eden,256,0,5.488834
eden,256,1,6.771435
eden,256,2,7.109282
eden,256,3,8.491631
eden,256,4,9.295692
eden,256,5,7.066073
eden,256,6,7.373170
eden,256,7,6.086434
eden,256,8,8.674271
eden,256,9,6.840880
eden,256,10,5.547041
eden,256,11,10.170650
eden,256,12,7.033239
eden,256,13,5.874715
eden,256,14,5.673449
eden,256,15,6.633767
eden,256,16,7.604488
eden,256,17,7.715883
eden,256,18,6.825844
eden,256,19,6.077923
eden,256,20,5.523154
eden,256,21,8.011314
eden,256,22,6.624180
eden,256,23,6.810998
