condition,hdbscan_clusters,hdbscan_ari,kmeans_ari,knn3_accuracy,bd_outlier_ratio,bd_fraction_in_blob_cluster
baseline,4,0.4989550782465023,0.18476270468303913,0.8145833333333334,9.1986,0.0
iw_norm,4,0.45013603959721793,0.4719550790570056,0.9104166666666667,8.8227,0.0
gw_norm,4,0.48622436250215256,0.2770719508757261,0.8354166666666666,9.5762,0.0
shuf_iw_control,3,0.2494126405757904,-0.038052461359676625,0.7520833333333334,8.5389,0.0
